worker_id,condition,start_means,strategy_with_means,strategy_without_means,Open Codes,Answered question,Changed strategy with vs witout means,Mentioned distance,Mentioned mean,Mentioned variance,Mentioned threshold,Mentioned area of marking,Mentioned frequency of events/markings,Mentioned confusion
03212299,densities,TRUE,Looking for distribution of red graph versus distribution of blue and how much higher it is.,I looked for where the normal distribution curve fell and how much of it was above the blue curve.,Gist distance,Yes,No,Yes,No,No,No,Yes,No,No
05ffb347,densities,TRUE,i'm comparing them at the midpoint. I am trying to estimate which is better and which will lead to a higher average goals,basically the same as i stated before. i measured the midpoint on each chart,Mean difference,Yes,No,No,Yes,No,No,No,No,No
089ac808,densities,TRUE,I look at the spread of the area under the curve: the more spread the better; and I look at how displaced to the right the new curve is the farther to the right it is the better.,I first looked at how displaced to the right the new curve is which indicates how many more points on average the team would make with the new player. The farther to the right it is the better. I then looked at the spread of the area under the new curve: the more spread the better.,Gist distance; Variance,Yes,No,Yes,Yes,High,No,Yes,No,No
13e93b4d,densities,TRUE,I see if the new player will significantly increase my odds.,I just eyeballed them and made my decisions based on the increase.,Uninformative,No,,,,,,,,
146d75f3,densities,TRUE,I used the visual difference between the red and blue data to determine a percentage difference in possible points accrued. I also looked at the vertical lines for information on what threshold was necessary to score more points.,I used the visual difference between the red data and blue data to try to determine the difference in points scored. I also used the visual line to determine the point threshold.,Gist distance; Point threshold,Yes,Yes,Yes,Yes,No,Yes,No,No,No
1ca52035,densities,TRUE,I saw how much a new player would improve a team and then decided if he was worth it.,I used the charts to tell me how far a new player could take the team and then decided if it was worth using him.,Uninformative,No,,,,,,,,
1e977a81,densities,TRUE,I tried to pay when the player can score us a moderate amount of points.,If there is a greater score threshold with the new player I get them.,Uninformative,No,,,,,,,,
1f4dff39,densities,TRUE,I just tried to figure if it was a substantial increase and if it would be worth paying for a change.  If it wasn't a substantially better player it wouldn't be worth switching so I'd keep it the same.,I just tried to focus on whether I had good odds of getting reimbursed the 8 cents for switching.  If the increase in player skill was only marginal - I didn't risk the 8 cents.,Uninformative,No,,,,,,,,
24c058b3,densities,TRUE,I looked at how much of the bell curve was on the right side of my blue chart.,I basically used the dotted vertical line and decided how much of their bell curve was past it to judge the chances. If more than 70 percent was across that I always picked to hire the new person.,Area across threshold,Yes,No,No,No,No,Yes,Yes,No,No
2c8f4463,densities,TRUE,i looked at overlap between non players 2nd half of bell curve and players 1st 50% and the midline,same as before but i looked at the width of the curves as well,Distribution overlap,Yes,Yes,No,Yes,Yes,No,Yes,No,No
2ed40e9b,densities,TRUE,Yes I used the chart and  I checked how closed or far the 2 curves were.,I checked how far or closed were the 2 curves.,Gist distance,Yes,No,Yes,No,No,No,No,No,No
33cee2bb,densities,TRUE,looked at the closeness of each picture to make a final decision,when the picture was further away from the line i paid the player,Gist distance; Distance across threshold,Yes,Yes,Yes,No,No,Yes,No,No,No
33d87ac9,densities,TRUE,I looked for the movement of the curve to see how far apart the blue and red were.,I gave attention to how tall the shaded areas were versus how wide they were as well as the distance between the red and blue curves.,Gist distance; Width and height of distributions,Yes,Yes,Yes,No,Yes,No,Yes,No,No
