"workerId","batch","condition","baseline","contract_value","exchange","start_gain_frame","total_bonus","duration","numeracy","gender","age","education","chart_use","companyValue","groundTruth","intervene","outcome","pContractNew","pContractOld","pSup","payoff","respTime","startTime","trial","trialDur","trialIdx"
"ada23cdd",3,"HOPs",0.5,2.25,0.04803,"True",2.33,1118.18400001526,11,"M","25-34","High school diploma or GED","Monthly or less",53.25,0.689,0,"True",0.7574337,0.5,5,2.25,1563988952.393,1563988909.353,"1",43.039999961853,"14"
"ada23cdd",3,"HOPs",0.5,2.25,0.04803,"True",2.33,1118.18400001526,11,"M","25-34","High school diploma or GED","Monthly or less",54.5,0.975,1,"True",0.9972127,0.5,99,1.25,1563989003.662,1563988956.278,"2",47.3839998245239,"23"
"ada23cdd",3,"HOPs",0.5,2.25,0.04803,"True",2.33,1118.18400001526,11,"M","25-34","High school diploma or GED","Monthly or less",54.5,0.916,0,"False",0.9743985,0.5,80,0,1563989049.481,1563989009.097,"3",40.3840000629425,"19"
"ada23cdd",3,"HOPs",0.5,2.25,0.04803,"True",2.33,1118.18400001526,11,"M","25-34","High school diploma or GED","Monthly or less",55.75,0.966,1,"True",0.9950576,0.5,90,1.25,1563989071.975,1563989054.186,"4",17.7889997959137,"22"
"ada23cdd",3,"HOPs",0.5,2.25,0.04803,"True",2.33,1118.18400001526,11,"M","25-34","High school diploma or GED","Monthly or less",57,0.617,1,"True",0.6634073,0.5,70,1.25,1563989117.121,1563989076.013,"5",41.1080000400543,"13"
"ada23cdd",3,"HOPs",0.5,2.25,0.04803,"True",2.33,1118.18400001526,11,"M","25-34","High school diploma or GED","Monthly or less",57,0.954,0,"False",0.9913263,0.5,85,0,1563989142.616,1563989122.395,"6",20.220999956131,"21"
"ada23cdd",3,"HOPs",0.5,2.25,0.04803,"True",2.33,1118.18400001526,11,"M","25-34","High school diploma or GED","Monthly or less",59.25,0.966,0,"True",0.9950576,0.5,95,2.25,1563989171.975,1563989145.76,"7",26.2149999141693,"22"
"ada23cdd",3,"HOPs",0.5,2.25,0.04803,"True",2.33,1118.18400001526,11,"M","25-34","High school diploma or GED","Monthly or less",60.5,0.937,1,"True",0.9849753,0.5,90,1.25,1563989188.238,1563989175.68,"8",12.5579998493195,"20"
"ada23cdd",3,"HOPs",0.5,2.25,0.04803,"True",2.33,1118.18400001526,11,"M","25-34","High school diploma or GED","Monthly or less",60.5,0.54,0,"False",0.5561041,0.5,40,0,1563989211.097,1563989191.322,"9",19.7749998569489,"12"
"ada23cdd",3,"HOPs",0.5,2.25,0.04803,"True",2.33,1118.18400001526,11,"M","25-34","High school diploma or GED","Monthly or less",61.75,0.975,1,"True",0.9972127,0.5,90,1.25,1563989228.78,1563989214.235,"10",14.5450000762939,"23"
