workerId,batch,condition,baseline,contract_value,exchange,start_gain_frame,total_bonus,duration,numeracy,gender,age,education,chart_use,bonus,companyValue,groundTruth,intervene,outcome,pContractNew,pContractOld,pSup,payoff,respTime,startTime,trial,trialDur,trialIdx
alex,0,HOPs_w_means,0.5,2.25,0.05128,False,2.53,88054.93099999428,10,M,25-34,Bachelor's degree,Daily,-0.05128,48.75,0.112,0,False,0.9572658,0.5,11,-2.25,1563406736.257,1563406729.947,1,6.309999942779541,5
alex,0,HOPs_w_means,0.5,2.25,0.05128,False,2.53,88054.93099999428,10,M,25-34,Bachelor's degree,Daily,0.0,48.75,0.247,0,True,0.8333612,0.5,11,0.0,1563406756.623,1563406750.624,2,5.998999834060669,8
alex,0,HOPs_w_means,0.5,2.25,0.05128,False,2.53,88054.93099999428,10,M,25-34,Bachelor's degree,Daily,0.0,47.75,0.046,1,True,0.9913263,0.5,11,-1.0,1563406766.562,1563406761.593,3,4.9690001010894775,2
alex,0,HOPs_w_means,0.5,2.25,0.05128,False,2.53,88054.93099999428,10,M,25-34,Bachelor's degree,Daily,0.0,46.75,0.034,1,True,0.9950576,0.5,11,-1.0,1563406775.666,1563406771.51,4,4.1559998989105225,1
alex,0,HOPs_w_means,0.5,2.25,0.05128,False,2.53,88054.93099999428,10,M,25-34,Bachelor's degree,Daily,-0.05128,44.5,0.46,0,False,0.5561041,0.5,11,-2.25,1563406789.432,1563406784.057,5,5.375,11
alex,0,HOPs_w_means,0.5,2.25,0.05128,False,2.53,88054.93099999428,10,M,25-34,Bachelor's degree,Daily,0.0,42.25,0.311,0,False,0.7574337,0.5,11,-2.25,1563406803.103,1563406798.396,6,4.707000017166138,9
alex,0,HOPs_w_means,0.5,2.25,0.05128,False,2.53,88054.93099999428,10,M,25-34,Bachelor's degree,Daily,-0.05128,40.0,0.193,0,False,0.8903388,0.5,11,-2.25,1563406816.142,1563406811.836,7,4.305999994277954,7
alex,0,HOPs_w_means,0.5,2.25,0.05128,False,2.53,88054.93099999428,10,M,25-34,Bachelor's degree,Daily,-0.11538,39.0,0.084,1,True,0.9743985,0.5,11,-1.0,1563406826.71,1563406821.91,8,4.799999952316284,4
alex,0,HOPs_w_means,0.5,2.25,0.05128,False,2.53,88054.93099999428,10,M,25-34,Bachelor's degree,Daily,0.0,39.0,0.383,0,True,0.6634073,0.5,11,0.0,1563406837.023,1563406831.558,9,5.4649999141693115,10
alex,0,HOPs_w_means,0.5,2.25,0.05128,False,2.53,88054.93099999428,10,M,25-34,Bachelor's degree,Daily,-0.11538,38.0,0.063,1,True,0.9849753,0.5,11,-1.0,1563406846.134,1563406840.881,10,5.253000020980835,3
alex,0,HOPs_w_means,0.5,2.25,0.05128,False,2.53,88054.93099999428,10,M,25-34,Bachelor's degree,Daily,0.0,37.0,0.025,1,True,0.9972127,0.5,11,-1.0,1563406856.796,1563406852.068,11,4.727999925613403,0
alex,0,HOPs_w_means,0.5,2.25,0.05128,False,2.53,88054.93099999428,10,M,25-34,Bachelor's degree,Daily,-0.16666,36.0,0.148,1,True,0.9304679,0.5,11,-1.0,1563406879.97,1563406871.351,12,8.61899995803833,6
alex,0,HOPs_w_means,0.5,2.25,0.05128,False,2.53,88054.93099999428,10,M,25-34,Bachelor's degree,Daily,0.0641,37.25,0.888,1,True,0.9572658,0.5,11,1.25,1563406971.173,1563406965.892,13,5.281000137329102,18
alex,0,HOPs_w_means,0.5,2.25,0.05128,False,2.53,88054.93099999428,10,M,25-34,Bachelor's degree,Daily,0.11538,39.5,0.753,0,True,0.8333612,0.5,11,2.25,1563406981.985,1563406977.005,14,4.979999780654907,15
alex,0,HOPs_w_means,0.5,2.25,0.05128,False,2.53,88054.93099999428,10,M,25-34,Bachelor's degree,Daily,0.0641,40.75,0.966,1,True,0.9950576,0.5,11,1.25,1563406989.694,1563406986.016,15,3.677999973297119,22
alex,0,HOPs_w_means,0.5,2.25,0.05128,False,2.53,88054.93099999428,10,M,25-34,Bachelor's degree,Daily,0.0641,40.75,0.852,0,False,0.9304679,0.5,11,0.0,1563407005.542,1563407000.29,16,5.252000093460083,17
alex,0,HOPs_w_means,0.5,2.25,0.05128,False,2.53,88054.93099999428,10,M,25-34,Bachelor's degree,Daily,0.0641,43.0,0.617,0,True,0.6634073,0.5,11,2.25,1563407026.643,1563407010.017,17,16.625999927520752,13
alex,0,HOPs_w_means,0.5,2.25,0.05128,False,2.53,88054.93099999428,10,M,25-34,Bachelor's degree,Daily,0.11538,44.25,0.954,1,True,0.9913263,0.5,11,1.25,1563407039.95,1563407034.162,18,5.788000106811523,21
alex,0,HOPs_w_means,0.5,2.25,0.05128,False,2.53,88054.93099999428,10,M,25-34,Bachelor's degree,Daily,0.0641,46.5,0.54,0,True,0.5561041,0.5,11,2.25,1563407053.249,1563407044.483,19,8.766000032424927,12
alex,0,HOPs_w_means,0.5,2.25,0.05128,False,2.53,88054.93099999428,10,M,25-34,Bachelor's degree,Daily,0.0,45.5,0.937,1,False,0.9849753,0.5,11,-1.0,1563407072.114,1563407061.801,20,10.312999963760376,20
alex,0,HOPs_w_means,0.5,2.25,0.05128,False,2.53,88054.93099999428,10,M,25-34,Bachelor's degree,Daily,0.11538,46.75,0.689,1,True,0.7574337,0.5,11,1.25,1563407083.44,1563407077.905,21,5.5350000858306885,14
alex,0,HOPs_w_means,0.5,2.25,0.05128,False,2.53,88054.93099999428,10,M,25-34,Bachelor's degree,Daily,0.0,48.0,0.916,1,True,0.9743985,0.5,11,1.25,1563407094.715,1563407089.68,22,5.034999847412109,19
alex,0,HOPs_w_means,0.5,2.25,0.05128,False,2.53,88054.93099999428,10,M,25-34,Bachelor's degree,Daily,0.0,48.0,0.807,0,False,0.8903388,0.5,11,0.0,1563407107.759,1563407102.864,23,4.894999980926514,16
alex,0,HOPs_w_means,0.5,2.25,0.05128,False,2.53,88054.93099999428,10,M,25-34,Bachelor's degree,Daily,0.11538,49.25,0.975,1,True,0.9972127,0.5,11,1.25,1563407117.945,1563407113.943,24,4.001999855041504,23
alex,0,HOPs_w_means,0.5,2.25,0.05128,False,2.53,88054.93099999428,10,M,25-34,Bachelor's degree,Daily,0.0,51.0,0.4,0,True,,0.95,40,-1.0,-1.0,1563405111.565,practice1,-1.0,practice
alex,0,HOPs_w_means,0.5,2.25,0.05128,False,2.53,88054.93099999428,10,M,25-34,Bachelor's degree,Daily,0.11538,53.25,0.6,0,True,,0.95,60,2.25,1563406941.903,1563406936.397,practice2,5.50600004196167,practice
