"workerId","batch","condition","baseline","award_value","exchange","start_gain_frame","total_bonus","duration","numeracy","gender","age","education","chart_use","accountValue","groundTruth","intervene","outcome","pAwardWith","pAwardWithout","pSup","payoff","respTime","startTime","trial","trialDur","trialIdx"
"a8eb7ca2",0,"HOPs",0.5,2.25,0.0496,"True",2.78,1271.59399986267,11,"M","25-34","Bachelor's degree","Daily",60.75,0.873,1,"True",0.9465786,0.5,98,1.25,1565383844.934,1565383808.32,"1",36.614000082016,"21"
"a8eb7ca2",0,"HOPs",0.5,2.25,0.0496,"True",2.78,1271.59399986267,11,"M","25-34","Bachelor's degree","Daily",59.75,0.641,1,"False",0.6948449,0.5,85,-1,1565383876.541,1565383851.283,"2",25.2579998970032,"15"
"a8eb7ca2",0,"HOPs",0.5,2.25,0.0496,"True",2.78,1271.59399986267,11,"M","25-34","Bachelor's degree","Daily",61,0.947,1,"True",0.9890494,0.5,97,1.25,1565383932.567,1565383911.755,"3",20.811999797821,"25"
"a8eb7ca2",0,"HOPs",0.5,2.25,0.0496,"True",2.78,1271.59399986267,11,"M","25-34","Bachelor's degree","Daily",61,0.9,0,"False",0.9650368,0.5,78,0,1565383993.406,1565383935.59,"4",57.8159999847412,"23"
"a8eb7ca2",0,"HOPs",0.5,2.25,0.0496,"True",2.78,1271.59399986267,11,"M","25-34","Bachelor's degree","Daily",62.25,0.8,1,"True",0.8830224,0.5,88,1.25,1565384030.69,1565384008.421,"5",22.2690000534058,"18"
"a8eb7ca2",0,"HOPs",0.5,2.25,0.0496,"True",2.78,1271.59399986267,11,"M","25-34","Bachelor's degree","Daily",61.25,0.724,1,"False",0.7997914,0.5,90,-1,1565384058.927,1565384036.042,"6",22.8849999904633,"16"
"a8eb7ca2",0,"HOPs",0.5,2.25,0.0496,"True",2.78,1271.59399986267,11,"M","25-34","Bachelor's degree","Daily",63.5,0.794,0,"True",0.8771014,0.5,66,2.25,1565384076.584,1565384063.206,"7",13.3780000209808,"17"
"a8eb7ca2",0,"HOPs",0.5,2.25,0.0496,"True",2.78,1271.59399986267,11,"M","25-34","Bachelor's degree","Daily",64.75,0.893,1,"True",0.960525,0.5,88,1.25,1565384098.544,1565384080.549,"8",17.9949998855591,"22"
"a8eb7ca2",0,"HOPs",0.5,2.25,0.0496,"True",2.78,1271.59399986267,11,"M","25-34","Bachelor's degree","Daily",64.75,0.548,0,"False",0.5677969,0.5,55,0,1565384118.93,1565384102.002,"9",16.9279999732971,"14"
"a8eb7ca2",0,"HOPs",0.5,2.25,0.0496,"True",2.78,1271.59399986267,11,"M","25-34","Bachelor's degree","Daily",64.75,0.84,0,"False",0.9200053,0.5,78,0,1565384141.966,1565384122.436,"10",19.5299999713898,"19"
"a8eb7ca2",0,"HOPs",0.5,2.25,0.0496,"True",2.78,1271.59399986267,11,"M","25-34","Bachelor's degree","Daily",66,0.975,1,"True",0.9972127,0.5,99,1.25,1565384163.881,1565384145.443,"11",18.4379999637604,"27"
"a8eb7ca2",0,"HOPs",0.5,2.25,0.0496,"True",2.78,1271.59399986267,11,"M","25-34","Bachelor's degree","Daily",67.25,0.925,1,"True",0.9789172,0.5,89,1.25,1565384190.359,1565384166.946,"12",23.4129998683929,"24"
"a8eb7ca2",0,"HOPs",0.5,2.25,0.0496,"True",2.78,1271.59399986267,11,"M","25-34","Bachelor's degree","Daily",68.5,0.964,1,"True",0.9944311,0.5,95,1.25,1565384209.475,1565384194.835,"13",14.6399998664856,"26"
